event,gender,age_from,age_to,period_from,period_to,sample_size,median_improvement,mean_improvement,std_improvement,min_improvement,max_improvement,q25_improvement,q75_improvement,iqr_lower,iqr_upper,analysis_date,status
50 Free,F,15,16,9.1.21-8.31.22,9.1.22-8.31.23,335,0.3100000000000023,0.32328358208955227,0.40473535875430333,-0.7899999999999991,1.5600000000000023,0.07000000000000028,0.5749999999999993,0.07000000000000028,0.5749999999999993,2025-11-01 11:05:21,Complete
50 Free,F,16,17,9.1.22-8.31.23,9.1.23-8.31.24,339,0.14999999999999858,0.1748377581120944,0.38380975681941965,-1.1600000000000001,1.5599999999999987,-0.06999999999999851,0.39000000000000057,-0.06999999999999851,0.39000000000000057,2025-11-01 11:05:21,Complete
50 Free,F,17,18,9.1.23-8.31.24,9.1.24-8.31.25,309,-0.10999999999999943,-0.0929126213592232,0.41669286121199367,-1.3200000000000003,1.1400000000000006,-0.370000000000001,0.19000000000000128,-0.370000000000001,0.19000000000000128,2025-11-01 11:05:21,Complete
50 Free,M,15,16,9.1.21-8.31.22,9.1.22-8.31.23,301,0.5500000000000007,0.5525249169435215,0.450618921229284,-1.0800000000000018,1.9100000000000001,0.2699999999999996,0.8099999999999987,0.2699999999999996,0.8099999999999987,2025-11-01 11:05:22,Complete
50 Free,M,16,17,9.1.22-8.31.23,9.1.23-8.31.24,302,0.370000000000001,0.37109271523178805,0.392482080427713,-0.879999999999999,1.6899999999999977,0.15250000000000163,0.5899999999999999,0.15250000000000163,0.5899999999999999,2025-11-01 11:05:22,Complete
50 Free,M,17,18,9.1.23-8.31.24,9.1.24-8.31.25,286,0.10500000000000043,0.11776223776223793,0.4051977322374558,-1.3399999999999999,1.9600000000000009,-0.120000000000001,0.3675000000000015,-0.120000000000001,0.3675000000000015,2025-11-01 11:05:22,Complete
100 Free,F,15,16,9.1.21-8.31.22,9.1.22-8.31.23,341,0.759999999999998,0.7339882697947214,0.8950715103610751,-1.8800000000000026,3.6300000000000026,0.14999999999999858,1.2900000000000063,0.14999999999999858,1.2900000000000063,2025-11-01 11:05:22,Complete
100 Free,F,16,17,9.1.22-8.31.23,9.1.23-8.31.24,359,0.37000000000000455,0.4127019498607243,0.7150590273249279,-1.7700000000000031,2.480000000000004,-0.060000000000002274,0.9150000000000027,-0.060000000000002274,0.9150000000000027,2025-11-01 11:05:22,Complete
100 Free,F,17,18,9.1.23-8.31.24,9.1.24-8.31.25,312,-0.14999999999999858,-0.2152564102564105,0.9418159278468845,-2.940000000000005,2.020000000000003,-0.8575000000000017,0.4199999999999964,-0.8575000000000017,0.4199999999999964,2025-11-01 11:05:23,Complete
100 Free,M,15,16,9.1.21-8.31.22,9.1.22-8.31.23,298,1.2100000000000009,1.2308724832214766,0.8543233382565449,-0.8100000000000023,3.740000000000002,0.7125000000000004,1.7675000000000036,0.7125000000000004,1.7675000000000036,2025-11-01 11:05:23,Complete
100 Free,M,16,17,9.1.22-8.31.23,9.1.23-8.31.24,329,0.8400000000000034,0.834954407294833,0.7659398825602316,-1.75,3.270000000000003,0.39000000000000057,1.3000000000000043,0.39000000000000057,1.3000000000000043,2025-11-01 11:05:23,Complete
100 Free,M,17,18,9.1.23-8.31.24,9.1.24-8.31.25,292,0.19500000000000028,0.19517123287671206,0.822881862554035,-3.1400000000000006,2.6400000000000006,-0.3399999999999981,0.7249999999999996,-0.3399999999999981,0.7249999999999996,2025-11-01 11:05:23,Complete
