gender,event,age_from,age_to,zscore_range,n_athletes,mean_zscore,median_zscore,min_zscore,max_zscore,median_improvement,mean_improvement,std_improvement,pct_improving,pct_getting_slower,q25_improvement,q75_improvement,transition,gender_event
F,100 Back,16,17,Top 6.7% (1.5 ≤ z < 2.0),21,1.6928714759365548,1.6319282142419451,1.5065592187558916,1.945350702957077,-0.0799999999999983,-0.0090476190476192,0.8545670291183938,42.85714285714285,52.38095238095239,-0.3399999999999963,0.4600000000000008,16→17,F 100 Back
F,100 Back,17,18,Above Average (0.5 ≤ z < 1.0),41,0.7063841649112079,0.6960852931628629,0.5007929376349183,0.99694108411133,-0.4399999999999977,-0.4778048780487806,1.1773275073183334,31.70731707317073,68.29268292682927,-1.3199999999999932,0.3499999999999943,17→18,F 100 Back
F,100 Back,17,18,Average (0 ≤ z < 0.5),51,0.224879095643652,0.2157716619995289,0.0099229629295276,0.4955147658638899,-0.4000000000000057,-0.599411764705882,1.4033816466435998,43.13725490196079,56.86274509803921,-1.2950000000000017,0.4199999999999946,17→18,F 100 Back
F,100 Back,17,18,Below Average (-0.5 ≤ z < 0),53,-0.2824678355559687,-0.2856546562479109,-0.4915033553179123,-0.0111897241545708,-0.3000000000000113,-0.3500000000000007,1.465223274891243,43.39622641509434,56.60377358490566,-0.9699999999999988,0.5799999999999983,17→18,F 100 Back
F,100 Back,17,18,Bottom 15.9% (z < -1.0),29,-1.140900489077206,-1.124883967840994,-1.2832291209717623,-1.0140423606494506,-0.3599999999999852,-0.0151724137931023,1.655672841016722,37.93103448275862,62.06896551724138,-1.1599999999999966,0.9099999999999966,17→18,F 100 Back
F,100 Back,17,18,Lower (-1.0 ≤ z < -0.5),55,-0.7399612955940089,-0.7448556003271389,-0.9929296735653522,-0.5020596988599615,-0.1500000000000056,-0.2470909090909094,1.3212909289812984,40.0,56.36363636363636,-1.0549999999999995,0.5499999999999972,17→18,F 100 Back
F,100 Back,17,18,Top 15.9% (1.0 ≤ z < 1.5),23,1.2447856716203596,1.218624298494409,1.0022192558823506,1.4878110588167168,-0.4200000000000017,-0.6304347826086966,1.4213694506749146,26.08695652173913,73.91304347826086,-1.0300000000000011,0.0049999999999954,17→18,F 100 Back
F,100 Back,17,18,Top 2.5% (z ≥ 2.0),19,2.603727690617246,2.511776382395695,2.010350064148255,3.852432012236214,-0.4299999999999997,-0.5642105263157894,0.968940364193216,31.57894736842105,68.42105263157895,-1.3299999999999983,0.0600000000000022,17→18,F 100 Back
F,100 Back,17,18,Top 6.7% (1.5 ≤ z < 2.0),13,1.7265468281523373,1.6936597578867143,1.5775399789241502,1.9258993158118465,-0.0400000000000062,-0.261538461538462,0.8488530375099912,46.15384615384615,53.84615384615385,-0.6600000000000037,0.2199999999999988,17→18,F 100 Back
F,100 Breast,16,17,Above Average (0.5 ≤ z < 1.0),40,0.7285627961992978,0.7128836563242469,0.5011134554144353,0.9938864229161066,-0.3849999999999908,-0.2524999999999988,1.7117458193318311,42.5,57.49999999999999,-1.134999999999991,0.7199999999999989,16→17,F 100 Breast
