gender,event,age_from,age_to,zscore_range,median_improvement,n_athletes,pct_improving,pct_getting_slower,num_other_ranges,num_other_ranges_positive,avg_other_ranges_median,difference_from_avg
M,800 Free,16,17,1.5-2.0,-4.470000000000027,23,39.130434782608695,60.86956521739131,7,7,5.065714285714287,-9.535714285714313
F,800 Free,17,18,1.5-2.0,-3.2999999999999545,15,26.666666666666668,73.33333333333333,7,5,1.1899999999999973,-4.489999999999952
F,400 Free,17,18,1.5-2.0,-2.875,20,25.0,75.0,7,1,-1.221428571428569,-1.653571428571431
F,1500 Free,17,18,1.5-2.0,-2.800000000000182,11,45.45454545454545,54.54545454545454,6,4,7.689999999999961,-10.490000000000144
F,1500 Free,16,17,1.5-2.0,-2.1900000000000546,22,45.45454545454545,54.54545454545454,7,5,4.7071428571428795,-6.897142857142934
M,800 Free,17,18,1.5-2.0,-2.019999999999982,17,47.05882352941176,52.94117647058824,7,4,-0.5199999999999981,-1.4999999999999836
M,1500 Free,16,17,1.5-2.0,-1.4700000000000273,23,43.47826086956522,56.52173913043478,7,7,10.182142857142894,-11.652142857142922
M,200 Breast,17,18,1.5-2.0,-1.1500000000000057,16,31.25,68.75,7,4,0.43071428571428994,-1.5807142857142957
F,200 Free,17,18,1.5-2.0,-1.0699999999999932,19,36.84210526315789,63.1578947368421,7,0,-0.5571428571428569,-0.5128571428571362
F,800 Free,16,17,1.5-2.0,-0.9950000000000048,16,43.75,56.25,7,6,2.009285714285706,-3.004285714285711
F,200 IM,17,18,1.5-2.0,-0.7849999999999966,14,35.714285714285715,64.28571428571429,7,1,-0.41214285714286597,-0.3728571428571306
F,200 Back,17,18,1.5-2.0,-0.7049999999999983,12,25.0,75.0,7,2,-0.5007142857142851,-0.20428571428571318
F,200 Fly,17,18,1.5-2.0,-0.6200000000000045,17,41.17647058823529,52.94117647058824,7,1,-0.5435714285714296,-0.07642857142857495
M,100 Breast,17,18,1.5-2.0,-0.5399999999999991,13,15.384615384615383,84.61538461538461,7,4,0.08714285714285756,-0.6271428571428567
F,100 Breast,17,18,1.5-2.0,-0.5349999999999966,16,31.25,68.75,7,0,-0.710714285714288,0.17571428571429137
F,100 Fly,17,18,1.5-2.0,-0.5200000000000031,17,29.411764705882355,70.58823529411765,7,1,-0.26714285714286035,-0.2528571428571428
F,200 Back,16,17,1.5-2.0,-0.5049999999999955,16,43.75,56.25,7,6,0.8521428571428556,-1.357142857142851
F,100 Free,17,18,1.5-2.0,-0.3300000000000054,11,45.45454545454545,54.54545454545454,7,3,-0.15857142857142903,-0.17142857142857637
F,200 Fly,16,17,1.5-2.0,-0.1799999999999926,24,50.0,50.0,7,5,0.7785714285714249,-0.9585714285714175
F,100 Back,16,17,1.5-2.0,-0.0799999999999983,21,42.85714285714285,52.38095238095239,7,7,0.4007142857142826,-0.4807142857142809
M,100 Fly,17,18,1.5-2.0,-0.0749999999999992,22,45.45454545454545,54.54545454545454,7,7,0.2807142857142862,-0.3557142857142854
M,400 Free,16,17,1.5-2.0,-0.0650000000000119,24,50.0,50.0,7,7,2.713571428571425,-2.778571428571437
M,200 Back,17,18,1.5-2.0,-0.0600000000000022,21,47.61904761904761,52.38095238095239,7,4,0.14357142857143199,-0.20357142857143418
F,50 Free,16,17,1.5-2.0,-0.0500000000000007,25,40.0,60.0,7,5,0.13000000000000025,-0.18000000000000094
F,100 Back,17,18,1.5-2.0,-0.0400000000000062,13,46.15384615384615,53.84615384615385,7,0,-0.35714285714285815,0.31714285714285195
F,50 Free,15,16,1.5-2.0,-0.0199999999999995,17,47.05882352941176,52.94117647058824,7,7,0.35857142857142854,-0.37857142857142806
F,400 IM,16,17,1.5-2.0,-0.0149999999999863,20,50.0,50.0,7,6,0.9928571428571493,-1.0078571428571357
F,100 Free,15,16,1.5-2.0,0.009999999999998,21,52.38095238095239,42.85714285714285,7,8,0.7371428571428572,-0.7271428571428592
M,50 Free,17,18,1.5-2.0,0.0100000000000015,16,50.0,50.0,7,7,0.09571428571428618,-0.08571428571428469
F,200 IM,16,17,1.5-2.0,0.0150000000000005,18,50.0,50.0,7,5,0.7935714285714214,-0.7785714285714209
